source,smiles
D00650_protomer_3,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
D00650_protomer_1,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)[NH2+]C(Cc1ccccc1)[N-]S2(=O)=O
C13072_protomer_1,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1
D00682_protomer_1,CCCCCC(C)(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)[O-]
D00682_protomer_2,CCCCCC(C)(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
D00627_protomer_1,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1
D00627_protomer_2,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
D00615_protomer_2,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
D00615_protomer_1,CCOC(=O)C1=C(COCC[NH3+])[NH2+]C(C)=C(C(=O)OC)C1c1ccccc1Cl
D02346_protomer_1,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1
D02346_protomer_2,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1
D01719_protomer_1,CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
D02477_protomer_1,C=C1c2c(Cl)ccc([O-])c2C([O-])=C2C(=O)C3(O)C([O-])=C(C(N)=O)C(=O)C([NH+](C)C)C3C(O)C12
D02477_protomer_3,C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12
D02477_protomer_2,C=C1c2c(Cl)ccc(O)c2C([O-])=C2C(=O)C3(O)C([O-])=C(C(N)=O)C(=O)C([NH+](C)C)C3C(O)C12
D08245_protomer_2,CN(CC=Cc1ccccc1)Cc1cccc2ccccc12
D08245_protomer_1,C[NH+](CC=Cc1ccccc1)Cc1cccc2ccccc12
D07223_protomer_1,CC(=O)C1(C)CCC2C3CCC4=CC(=O)CCC4=C3CCC21C
D02085_protomer_1,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
D02085_protomer_2,Cc1[n-]c(=O)c(C#N)cc1-c1ccncc1
D02390_protomer_1,O=C([O-])C(O)C(O)C(O)C(O)CO
D02240_protomer_2,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
D02240_protomer_1,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
D06239_protomer_1,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
D05374_protomer_2,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
D05374_protomer_1,Fc1ccc(C2CC[NH2+]CC2COc2ccc3c(c2)OCO3)cc1
D03753_protomer_2,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC
D03753_protomer_1,CCCC([NH2+]C(C)C(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)OCC
D00887_protomer_1,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-]
D02167_protomer_2,CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
D02167_protomer_1,CC(Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1
D00973_protomer_1,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
D02504_protomer_1,CNC(=O)CC([NH3+])C(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-])c1ccc([O-])cc1
D02504_protomer_3,CNC(=O)CC(N)C(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccc(O)cc1
D02504_protomer_2,CNC(=O)CC([NH3+])C(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-])c1ccc(O)cc1
D07098_protomer_1,CC[NH+](CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21
D07098_protomer_2,CCN(CC)CCn1c(=O)c(Cc2ccc(OC)cc2)nc2ccccc21
D02071_protomer_1,C[NH+]1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
D02071_protomer_2,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
D00457_protomer_1,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
D00204_protomer_1,CC1(C)SC2C(NC(=O)C([NH3+])c3ccccc3)C(=O)N2C1C(=O)[O-]
D00204_protomer_2,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
D00609_protomer_1,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
D01742_protomer_1,COc1cc(N)c(Cl)cc1C(=O)NC1CC[NH+](Cc2ccccc2)CC1
D00219_protomer_2,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
D00219_protomer_1,CC(=O)c1ccc(S(=O)(=O)[N-]C(=O)[NH2+]C2CCCCC2)cc1
D01667_protomer_1,CCOC(=O)C(CCc1ccccc1)[NH2+]C(C)C(=O)N(CC(=O)[O-])C1Cc2ccccc2C1
D01667_protomer_2,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1
D08000_protomer_1,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)[O-]
D08000_protomer_2,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O
D08147_protomer_1,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)OCCl
D02219_protomer_1,C[NH+](CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
D02219_protomer_2,CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12
D02066_protomer_1,CC(C)[NH2+]CC(O)c1ccc(O)c([O-])c1
D02066_protomer_2,CC(C)[NH2+]CC(O)c1ccc([O-])c([O-])c1
D02066_protomer_3,CC(C)NCC(O)c1ccc(O)c(O)c1
D07548_protomer_1,COc1cc(OC)c(C(=O)CCC[NH+]2CCCC2)c(OC)c1
D00321_protomer_1,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
D02345_protomer_1,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC21
D02345_protomer_2,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21
D00345_protomer_1,CC1Cc2ccccc2N1[N-]C(=O)c1ccc(Cl)c(S([NH-])(=O)=O)c1
D00345_protomer_3,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
D00345_protomer_2,CC1Cc2ccccc2N1[N-]C(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
D00653_protomer_3,CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
D00653_protomer_2,CC[NH2+]C1CC(C)S(=O)(=O)c2sc(S([NH-])(=O)=O)cc21
D00653_protomer_1,CC[NH2+]C1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
D02374_protomer_2,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C
D02374_protomer_1,CC(=O)Oc1c(C)cc(OCC(O)C[NH2+]C(C)C)c(C)c1C
D07292_protomer_1,COc1ccccc1OC(=O)c1ccccc1OC(C)=O
D07984_protomer_1,COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1
D07984_protomer_2,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
D00437_protomer_1,COC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
D00437_protomer_2,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
D07878_protomer_1,C[NH+](C)CCOC(C)(c1ccccc1)c1ccccn1
D07878_protomer_2,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
D07062_protomer_2,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O
D02472_protomer_1,O=C1C(=O)c2ccccc2C([O-])=C1C1CCC(c2ccc(Cl)cc2)CC1
D02472_protomer_2,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1
D07139_protomer_1,CCOC(=O)COc1ccc2c(C)c(CC[NH+](CC)CC)c(=O)oc2c1Cl
D07139_protomer_2,CCOC(=O)COc1ccc2c(C)c(CCN(CC)CC)c(=O)oc2c1Cl
D10542_protomer_1,CCc1cc2c(cc1N1CCC([NH+]3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
